"key","value"
"client"," online transfer issues money received recipient louden besingi motina account transfer online sis account bank sgc acct receive money advise xfa"
"client"," transfer frcfa sara account orange money account sara money debited sara account credit orange money account"
"client"," issue "
"client"," update "
"client"," transfer frcfa sara account orange money account sara money debited sara account credit orange money account"
"client"," transfer frcfa sara account orange money account sara money debited sara account credited orange money account"
"client"," automated talking "
"client"," account reside united "
"client"," speak agent "
"client"," "
"client"," afriland sum xaf xaf bank account ecobank account sara afriland person money account account details vodnyonga anderson gabgha account anderson "
"client"," afriland sum xaf xaf bank account ecobank account sara afriland person money account account details vodnyonga anderson gabgha account anderson "
"client"," withdraw money afriland atm "
"client"," created corporate bank account"
"client"," promt log app phone months "
"client"," opt code enter"
"client"," advise"
"client",""
"client"," money account urgently"
"client",""
"client"," time bamenda location "
"client"," weekend"
"client"," fit "
"client",""
"client"," transfer account error talk issue transfer"
"client"," transfer account error talk issue transfer"
"client"," issues account transfer receive otp message validate transaction"
"client"," waiting message confirm transaction"
"client"," bank account cameroon reside united attempted times transfer funds success login receive verification code opt complete transfer receiving code funds transaction transfer success issue authorization represent complete transaction meaning approved procuration "
"client"," "
"client"," "
"client"," transfer account error talk issue transfer"
"client"," error "
"client"," transfer account error talk issue transfer"
"client"," error "
"client",""
"client"," account "
"client"," waiting hear account debit card atm withdraw funds"
"client"," "
"client"," speak "
"client"," form "
"client"," withdraw funds account company "
"client"," ridiculous"
"client"," "
"client"," manager "
"client"," send manager "
"client"," manager "
"client"," manager "
"client"," phone "
"client"," "
"client"," reach "
"client"," wondering account transaction"
"client"," "
"client"," manage account online easily efirst account created "
"client",""
"client"," "
"client",""
"client"," "
"client"," account setup "
"client"," explained "
"client"," difficult understand issue"
"client"," account unlocked transfer online"
"client"," skip paying fees account account"
"client",""
"client"," transfer weeks told application construction transfer weeks transfer reached bank told guys configure application transaction online"
"client"," set account online services cameroon bank pay fees month support months funds account blocked "
"client"," freaking response day patient bank cameroon gonna waiting waiting online account application assistance"
"client"," usa"
"client"," enable account transfer online freaking app transfer deal "
"client"," unlock account transfer bother guys mekone locked sending message telling bank "
"client",""
"client","listen talking irritating "
"client"," security pay flight stay bank "
"client"," attempted transfer online app error "
"client"," atp iny sara"
"client","sara money app"
"client"," account key step atp "
"client"," madame transfer sara pass weeks access sara "
"client"," abroard urgently transfer money sara plateform "
"client"," version pass days transfer money afriland accounts"
"client"," log account sara unable transfer money"
"client"," received message wrong wrong "
"client"," desactivated application temes "
"client"," "
"client"," transfer"
"client"," madame transfer money sara account application action receiving error message wrong lot"
"client",""
"client"," unable transfer money sara"
"client"," transfer sara account disappointed afriland month moving accounts bank disastrous situation comunicating "
"client",""
"client"," contact porfolio manager bafoussam"
"client"," sara afriland transfer money savings checking account savings debited checking credited"
"client"," worried"
"client",""
"client"," worried"
"client"," bank solved minutes solution"
"client"," add à beneficiary sara afriland application receiving message external bank service unavailable "
"client"," send money brothers accounts "
"client","sender anu fortan atabong dillard transfer reference receiver "
"client",""
"client",""
"client"," "
"client",""
"client",""
"client","afriland "
"client"," transaction afriland mobile wallet receipt money days "
"client","sender anu fortan atabong dillard transfer reference receiver "
"client","oui"
"client"," "
"client"," transaction afriland mobile wallet receipt money weeks sender anu fortan atabong dillard transfer reference receiver "
"client"," savings account reflects statement missing funds account statements starting "
"client"," "
"client"," hours transfer transaction account bank account receiver received account debited"
"client"," live united ready travel cameroon account active "
"client"," check bank hours"
"client"," hoping trace funds afriland account holder "
"client"," wire transfer bank business account held afriland bank bank informed funds cleared received afriland bank march beneficiary received funds "
"client"," hope track wire transfer "
"client"," details "
"client"," understand confirm bank received wire "
"client"," wire department"
"client"," follow email weeks received email afriland bank received money cbao feedback afriland bank updates email attachment reference xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx agbor anthony agbor afriland bank happy count customers mark trust acknowledge receipt complaint withdrawals cbao atm senegal transactions total xaf atm pay sums debited account steps funds returned account inform processed notified channel processing complaint registered reference "
"client"," updates "
"client"," transfer account credited"
"client","double debit xaf purpose frais virement permanent debit purpose expect amounts credited account "
"client"," partner send money afriland bank guniea conakry money afriland bank cameroon pass weeks "
"client"," answer pls"
"client"," account sara refused wrong "
"client",""
"client"," "
"client"," visa card support international transaction usd "
"client"," xap monthly limit "
"client","visa mastercard "
"client",""
"client"," international transaction"
"client"," "
"client","usd"
"client"," requirements visa mastercard "
"client"," "
"client"," branch nearme kusuri requirements documents account "
"client",""
"client"," prepaid card"
"client"," prepaid card cryptocurrency online "
"client",""
"client","alright "
"client"," afriland bank charting nigeria cameroonian based nigeria enquirer send money family cameroon bank "
"client"," sara app months "
"client"," anytime "
"client"," sara app months "
"client"," anytime "
"client"," remove money account send momo"
"client"," withdraw account momo "
"client"," reply "
"client",""
"client"," transfer money account momo "
"client"," check "
"client"," day"
"client"," type customers service provide write respond pick"
"client"," solved "
"client"," upset service option solving "
"client"," "
"client"," signed send demand loan wednesday bafoussam baleng limbe response limbe branch "
"client"," "
"client"," loan "
"client",""
"client"," "
"client"," tomorrow money invest "
"client"," account "
"client"," loan takes processed"
"client"," weeks signed documents "
"client"," bank grant loan "
"client"," waiting"
"client"," "
"client"," weeks signed"
"client"," grant "
"client"," money process"
"client"," incompetent"
"client"," "
"client","useless bank"
"client"," processing documents"
"client"," hope loan costumes"
"client"," weeks money"
"client"," inventory "
"client"," loan "
"client"," processing "
"client"," account debited frs funds credited bank account "
"client",""
"client",""
"client",""
"client"," paying pay "
"client"," account kindly credited frs"
"client"," package bank card charge pay pay paying"
"client"," account debited frs funds credited account "
"client"," account balance contact agent accounts manager town banks "
"client"," closest agency tingha"
"client"," withdraw money bank account visa card ola petrol station bonapriso atm incident occurred connect bank received sms moments account debited frs"
"client"," customer provide account verification processing "
"client"," received message account debited fts night house sleeping"
"client"," message received"
"client"," collected loans"
"client"," loans loan remaining pay "
"client"," total money pay loan"
"client",""
"client",""
"client"," email"
"client"," withdrawal gab sum frs incident notified unfortnately minutes received debit message account "
"client"," airtime transaction account yesterday orange received airtime "
"client"," airtime transaction account yesterday orange received airtime "
"client",""
"client"," transaction"
"client"," bought credit afriland account sara afriland bank app orange fcfa received "
"client"," people cutting money deposit account current account"
"client"," close deposit account"
"client"," save money"
"client",""
"client",""
"client",""
"client"," sara money app download vision link received "
"client"," transfer money current account savings"
"client"," noticed deduction money"
"client"," fine transfer money current account savings account"
"client"," receiving code"
"client"," transfer money deposit account current account receiving code"
"client"," guys cutting money current saving account"
"client"," afternoon current frs deducted noticed debit time"
"client"," "
"client"," wan link account momo deposit easy"
"client"," validate receive loan branch week drop application received notification "
"client",""
"client"," "
"client"," frs transaction account"
"client",""
"client",""
"client"," account debited frs month justification "
"client"," account "
"client"," account "
"client"," account debited frs february error understood "
"client"," screenshot branch "
"client"," deduction frs account monthly loan left frs account salary account read february mistake retrieve account month met normal transactions money "
"client"," knowledge subscribed bundles afriland branch deduct charges monthly"
"client"," "
"client"," account registered "
"client"," maximum afriland bank loan civil servant"
"client"," receive bank card bank reminding collect pay "
"client"," account balance exact sara check transaction remember password blocked reset password"
"client"," "
"client",""
"client"," salary fcfa loan "
"client"," loan "
"client",""
"client"," "
"client"," transaction mobile money saturday validated frs time receive money momo account validated time received frs momo account frs debited account frs "
"client"," hope account"
"client"," account balance friday week thousands balance knowing transpired"
"client",""
"client"," account balance friday week thousands balance knowing transpired"
"client",""
"client",""
"client"," account balance friday week thousands balance knowing transpired"
"client"," account balance thousands frs space days"
"client"," withdrawals "
"client"," koutaba atm"
"client"," buea atm insufficient funds"
"client"," travelled koutaba "
"client"," account balance"
"client"," modalities school fee loan refundable withing "
"client"," requirments"
"client",""
"client"," add visa card online verify"
"client"," received verification code"
"client"," cvv code digit card degit"
"client"," downloaded app registration"
"client"," customer "
"client","hlo"
"client",""
"client"," satisfied account balance"
"client"," frs account"
"client"," understand "
"client"," manager account understand wrong account balance frs account longtso loic fiemetia"
"client"," wrong account balance frs account"
"client",""
"client"," account understand transaction "
"client"," frs subtracting normal loan"
"client"," normal salary frs"
"client"," noticed savings account debited time francs left surprise frs transferred current account procedure close savings account save cut "
"client"," accès sara app downloading "
"client",""
"client"," day"
"client"," disappointed afriland table quit letter "
"client"," time pass office manager "
"client"," request loan granted "
"client"," signed demand"
"client"," deposited damand weeks "
"client","waiting approval"
"client","bonajou douala"
"client","bonajo douala"
"client"," "
"client"," requested loan month fit "
"client"," requested loan month fit "
"client"," requested loan month fit "
"client"," douala breach yaounde mvog "
"client"," "
"client"," agent noticed debit account transactions love clarification charges reflect"
"client"," visa card confirm "
"client",""
"client",""
"client"," agent noticed debit account transactions love clarification charges reflect visa card confirm "
"client"," transactions recognized money dropped"
"client"," intend reason visa card account balance "
"client"," merci "
"client"," agent noticed debit account transactions love clarification charges reflect"
"client"," visa card confirm "
"client",""
"client",""
"client"," agent noticed debit account transactions love clarification charges reflect visa card confirm "
"client"," transactions recognized money dropped"
"client"," intend reason visa card account balance "
"client"," merci "
"client"," agent noticed debit account transactions love clarification charges reflect visa card confirm "
"client",""
"client","bonsoir "
"client",""
"client"," fondzenyuy stephen kome account "
"client"," agent noticed debit account transactions love clarification charges reflect visa card confirm "
"client",""
"client","bonsoir "
"client",""
"client"," fondzenyuy stephen kome account "
"client"," agent received international payments organization account days receive notifications account verify invoice "
"client"," verify verify transaction"
"client"," fondzenyuy stephen kome account "
"client"," usd"
"client"," "
"client"," card pdf"
"client"," signature"
"client"," sara "
"client"," sara changed"
"client"," confirm effective sara"
"client"," cameroon depend online discussion"
"client"," wait check tomorrow "
"client"," balance "
"client"," sender "
"client"," agent received international payments organization account days receive notifications account verify invoice "
"client"," verify verify transaction"
"client"," fondzenyuy stephen kome account "
"client"," usd"
"client"," "
"client"," card pdf"
"client"," signature"
"client"," sara "
"client"," sara changed"
"client"," confirm effective sara"
"client"," cameroon depend online discussion"
"client"," wait check tomorrow "
"client"," balance "
"client"," sender "
"client"," afriland accept payments usd usd account delayed payments afriland account fcfa support usd "
"client"," fondzenyuy stephen kome account "
"client"," card pdf"
"client"," details"
"client"," organization usd bank account pay account usd bank account afriland current account support direct payments usd"
"client"," inform "
"client"," afriland accept payments usd usd account delayed payments afriland account fcfa support usd "
"client"," fondzenyuy stephen kome account "
"client"," card pdf"
"client"," details"
"client"," organization usd bank account pay account usd bank account afriland current account support direct payments usd"
"client"," inform "
"client"," sara money "
"client"," sara money "
"client"," created account douala bonaberi updating sara money app functioning "
"client"," sara application play store"
"client"," "
"client",""
"client"," money savings current account bu bank charging fees current account credited "
"client"," confirm "
"client"," confirm account "
"client"," receive money deposited bank account"
"client"," routing bank account documents "
"client",""
"client"," "
"client",""
"client",""
"client"," filling sara application customer customer "
"client"," link orange mobile money bank account transferring orange mobile money bank account"
"client"," linking orange momo bank account "
"client"," madame account debited frs april understand debited authorize transaction transaction april frs "
"client"," madame account debited frs april understand debited authorize transaction transaction april frs "
"client",""
"client"," madame account debited frs april understand debited authorize transaction transaction april frs told credit term understand mind explain "
"client"," understand credit term mind explain details"
"client",""
"client"," issue withdraw money afriland atm machine rejected "
"client"," withdrawal card rejects message restriction applied account contact portfolio manager"
"client"," salary frs withdraw frs total account sara money variation january surprised deducted account "
"client"," customer account analysis claim"
"client"," salary frs withdraw frs total account sara money variation january surprised deducted account account "
"client"," afriland bank cameroon writing claim frs debit afriland bafoussam receive money electronic machine responding transactions transaction cash withdrawal frs machine wait declined moved machine transaction frs successful "
"client"," received debit messages frs afriland bank cameroon debited received cash debit message debit message "
"client"," current account salary account receive money market cancelled transaction pending cancelled "
"client","cancelled market "
"client"," cicil servant checked account negative balance salaries paid salary account "
"client",""
"client"," "
"client"," withdrawn money account mobile money"
"client"," withdrew message bank thst deducted money alreasy"
"client",""
"client"," account"
"client"," called mtn told transaction failed"
"client"," contact bank refund"
"client","sara transaction beneficiaries "
"client"," received message pin"
"client"," update "
"client"," "
"client"," receive messages balance register sara app error time"
"client"," receive message"
"client","pls cancel card double deduction account issue applied card card expired knowing wait "
"client","pls "
"client"," cancel card"
"client"," nearby bank withdraw forget password"
"client",""
"client"," waiting"
"client",""
"client"," customer invite closer agency issuance password "
"client","money withdrawn account times withdraw money"
"client"," sum frs "
"client"," waiting"
"client"," money removed account "
"client"," times"
"client"," frs"
"client","time "
"client"," verified account funds return "
"client"," money "
"client"," account "
"client"," received money afriland"
"client"," knw visa card declining insufficient funds money account"
"client",""
"client",""
"client"," send message english"
"client",""
"client"," account history months"
"client",""
"client",""
"client",""
"client"," "
"client"," massage branch kumba card understand meant bc french card expiring march understand card issue"
"client",""
"client","felow bank card "
"client"," town credit scolaire visit agency modalities"
"client"," restriction account receive salary reason"
"client"," prepaid card declined"
"client"," card declined payments online"
"client"," forgotten sara password restoring bamenda "
"client"," app"
"client"," received debit alert amsterdam commerce "
"client"," prepaid card debit amsterdam enter info "
"client"," card nguemkam fotso carlos"
"client"," bank believable partner bank passed regretting sum frs deducted account roughly frs frs treat customers card frs initial agreement frs respect money refunded happy attitude "
"client"," "
"client"," "
"client"," afternoon"
"client"," raised "
"client"," remember exact deduction november dispute noticed debit account march "
"client"," bank believable partner bank passed regretting sum frs deducted account frs frs treat customers card frs initial agreement frs respect money refunded happy attitude "
